NSPID,volume,psc,px,py,pz
S1363,0.0,nan,nan,nan,nan
S1364,784.0,1.5487251281738281,30.0,-86.0,2.0
S1365,0.0,nan,nan,nan,nan
S1366,200.0,1.1430959320068359,32.0,-80.0,0.0
S1367,0.0,nan,nan,nan,nan
S1368,0.0,nan,nan,nan,nan
S1369,0.0,nan,nan,nan,nan
S1371,0.0,nan,nan,nan,nan
S1372,5240.0,1.1636898040771484,36.0,-92.0,-4.0
S1373,168.0,0.70810607910156254,34.0,-88.0,-4.0
S1374,0.0,nan,nan,nan,nan
S1375,176.0,1.0798074340820312,32.0,-92.0,-8.0
S1376,0.0,nan,nan,nan,nan
S1377,720.0,1.0808812713623046,36.0,-88.0,4.0
S1378,3256.0,1.4411244201660156,32.0,-84.0,-2.0
S1380,0.0,nan,nan,nan,nan
S1381,3592.0,1.0625318908691406,38.0,-86.0,-10.0
S1383,2680.0,1.5245199584960938,32.0,-82.0,4.0
S1385,1600.0,1.0040789031982422,24.0,-96.0,-4.0
S1386,3280.0,1.2374060821533204,38.0,-90.0,-2.0
S1387,0.0,nan,nan,nan,nan
S1388,1384.0,1.0033467102050782,30.0,-88.0,-10.0
S1389,0.0,nan,nan,nan,nan
