NSPID,volume,psc,px,py,pz
S1184,1648.0,1.1280967712402343,-42.0,-72.0,6.0
S1185,4096.0,1.0620420837402345,-42.0,-74.0,2.0
S1186,3920.0,1.0765060424804687,-42.0,-74.0,4.0
S1188,4448.0,1.1465385437011719,-40.0,-68.0,6.0
S1189,1600.0,1.4542251586914063,-44.0,-66.0,12.0
S1190,4472.0,1.433717041015625,-48.0,-72.0,2.0
S1191,2640.0,1.5720912170410157,-46.0,-60.0,6.0
S1193,2984.0,1.0308293914794922,-54.0,-64.0,10.0
S1195,0.0,nan,nan,nan,nan
S1196,4216.0,1.2157567596435548,-48.0,-66.0,8.0
S1197,5184.0,1.2007488250732421,-48.0,-74.0,-6.0
S1199,360.0,1.3497607421875,-42.0,-80.0,6.0
S1200,4168.0,1.5371041870117188,-40.0,-80.0,2.0
S1201,1760.0,1.1026231384277343,-40.0,-66.0,8.0
S1202,3056.0,1.1555609893798828,-38.0,-70.0,4.0
S1203,0.0,nan,nan,nan,nan
S1204,7544.0,1.2775974273681641,-40.0,-64.0,8.0
S1205,6584.0,1.2482206726074219,-44.0,-72.0,12.0
S1206,4568.0,1.1106669616699218,-44.0,-76.0,6.0
S1207,392.0,1.3357162475585938,-38.0,-76.0,-2.0
S1208,3688.0,1.4763294982910156,-44.0,-70.0,2.0
S1209,4208.0,1.5639079284667969,-48.0,-68.0,12.0
S1210,3032.0,1.0354576873779298,-40.0,-64.0,6.0
S1211,4592.0,1.463395233154297,-42.0,-64.0,2.0
S1212,2944.0,1.1611662292480469,-44.0,-70.0,0.0
S1213,3968.0,1.3683651733398436,-46.0,-72.0,4.0
S1214,0.0,nan,nan,nan,nan
S1215,1272.0,1.2110787963867187,-50.0,-70.0,8.0
S1216,2760.0,1.2034812164306641,-42.0,-70.0,6.0
S1217,9864.0,1.3750166320800781,-42.0,-80.0,4.0
S1219,344.0,0.77637825012207029,-44.0,-68.0,4.0
S1220,1928.0,1.3188885498046874,-52.0,-80.0,8.0
S1222,1312.0,0.91734489440917966,-38.0,-72.0,10.0
S1223,1840.0,1.3129113769531251,-42.0,-76.0,2.0
S1225,2816.0,1.3605535888671876,-42.0,-72.0,0.0
S1226,648.0,1.2215850830078125,-42.0,-70.0,10.0
S1227,0.0,nan,nan,nan,nan
S1228,1504.0,1.8202447509765625,-44.0,-70.0,2.0
S1229,904.0,1.2089350128173828,-44.0,-72.0,6.0
S1230,4584.0,1.657906494140625,-52.0,-76.0,-6.0
S1231,3920.0,1.2212249755859375,-44.0,-72.0,2.0
S1233,2704.0,1.1471762084960937,-48.0,-74.0,0.0
S1234,0.0,nan,nan,nan,nan
